,Title,image,MRP
21,Gillette Vector 3 Manual Shaving Razor Blades - 4s Pack (Cartridge),"['https://m.media-amazon.com/images/I/8195RABv42L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/8195RABv42L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/8195RABv42L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/8195RABv42L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/8195RABv42L._AC_UL960_QL65_.jpg']",230
22,Gillette Series Pure and Sensitive Pre Shave Gel - 195 g,"['https://m.media-amazon.com/images/I/51G-iPinAeL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51G-iPinAeL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51G-iPinAeL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51G-iPinAeL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51G-iPinAeL._AC_UL960_QL65_.jpg']",298
23,Gillette Mach3 New Blade Razor - 1 Count,"['https://m.media-amazon.com/images/I/71eT9QCQLqL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71eT9QCQLqL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71eT9QCQLqL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71eT9QCQLqL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71eT9QCQLqL._AC_UL960_QL65_.jpg']",155
24,Gillette Venus Female Razor Blades Cartridge - 4 Pieces,"['https://m.media-amazon.com/images/I/61A1qQG8HHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61A1qQG8HHL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61A1qQG8HHL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61A1qQG8HHL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61A1qQG8HHL._AC_UL960_QL65_.jpg']",499
25,Gillette Mach 3 Turbo Manual Shaving Razor Blades - 4s Pack (Cartridge),"['https://m.media-amazon.com/images/I/91LKkzhWkoL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91LKkzhWkoL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91LKkzhWkoL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91LKkzhWkoL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91LKkzhWkoL._AC_UL960_QL65_.jpg']",608
26,Gillette Mach 3 Sensitive Manual Shaving Razor Blades - 2s Pack (Cartridge),"['https://m.media-amazon.com/images/I/81MeON43J1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81MeON43J1L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81MeON43J1L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81MeON43J1L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81MeON43J1L._AC_UL960_QL65_.jpg']",360
27,Gillette Vector 3 Manual Shaving Razor,"['https://m.media-amazon.com/images/I/81QMULkxSHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81QMULkxSHL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81QMULkxSHL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81QMULkxSHL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81QMULkxSHL._AC_UL960_QL65_.jpg']",110
28,Gillette Series Cool Wave After Shave Splash - 50 ml,"['https://m.media-amazon.com/images/I/51QvSZ-P6EL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51QvSZ-P6EL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51QvSZ-P6EL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51QvSZ-P6EL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51QvSZ-P6EL._AC_UL960_QL65_.jpg']",268
29,Gillette Series Arctic Ice After Shave Splash - 50 ml,"['https://m.media-amazon.com/images/I/91yIpeOAaSL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91yIpeOAaSL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91yIpeOAaSL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91yIpeOAaSL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91yIpeOAaSL._AC_UL960_QL65_.jpg']",268
30,Gillette Series Sensitive Skin Pre Shave Gel - 195 g,"['https://m.media-amazon.com/images/I/71A2QvhA4XL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71A2QvhA4XL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71A2QvhA4XL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71A2QvhA4XL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71A2QvhA4XL._AC_UL960_QL65_.jpg']",299
