,Title,image,MRP
20,"Colgate Toothpaste for Kids (6-9 years), Natural Strawberry Mint Flavour, 0% Artificial- 80g with Colgate Barbie Extra Soft Toothbrush (5+ yrs) - 1 Pc","['https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61uN+wERq5L._AC_UL960_QL65_.jpg']",195
21,Baidyanath Red Toothpaste - 100 g (Pack of 4),"['https://m.media-amazon.com/images/I/81D9gh0BDhL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81D9gh0BDhL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81D9gh0BDhL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81D9gh0BDhL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81D9gh0BDhL._AC_UL960_QL65_.jpg']",192
22,"Colgate Anticavity Kids Barbie Toothpaste (6+ years), Strawberry flavour – 80g (Pack of 2) with Colgate Barbie Toothbrush - 1 Pc","['https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71ZlKc1X3eL._AC_UL960_QL65_.jpg']",259
23,"Mamaearth Natural Repellent Mosquito Patches for Babies, 24 Patches & Mamaearth 100 Percent Natural Berry Blast Kids Toothpaste, 50g","['https://m.media-amazon.com/images/I/51MWuEr6HHL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51MWuEr6HHL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51MWuEr6HHL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51MWuEr6HHL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51MWuEr6HHL._AC_UL960_QL65_.jpg']",326
24,"Mamaearth Daily Moisturizing Lotion For Babies (200 Ml) And Mamaearth Natural Toothpaste, Orange Flavour, Sls Free, With 750 Ppm Fluoride, 4+ Years, Plant Based","['https://m.media-amazon.com/images/I/51nysgG-ngL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51nysgG-ngL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51nysgG-ngL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51nysgG-ngL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51nysgG-ngL._AC_UL960_QL65_.jpg']",348
25,"Mamaearth Deeply Nourishing Wash For Babies (200 Ml) And Mamaearth Natural Toothpaste, Orange Flavour, Sls Free, With 750 Ppm Fluoride, 4+ Years, Plant Based","['https://m.media-amazon.com/images/I/51YtQ6QcgaL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51YtQ6QcgaL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YtQ6QcgaL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YtQ6QcgaL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51YtQ6QcgaL._AC_UL960_QL65_.jpg']",348
26,HealthVit Activated Charcoal Powder for Natural Teeth Whitening - 20 g,"['https://m.media-amazon.com/images/I/71Xyi3P4yYL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71Xyi3P4yYL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71Xyi3P4yYL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71Xyi3P4yYL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71Xyi3P4yYL._AC_UL960_QL65_.jpg']",169
27,"Colgate Total Advanced Health Anticavity Toothpaste - 185g, Colgate Swarna Vedshakti Toothpaste - 200g, Colgate Plax Freshmint Splash Mouthwash- 250ml and Slim Soft Charcoal Toothbrush (Buy 2 Get 1)","['https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pa5iUpnNL._AC_UL960_QL65_.jpg']",500
28,"Mamaearth Gentle Cleansing Natural Baby Shampoo (400 Ml) And Mamaearth Natural Toothpaste, Orange Flavour, Sls Free, With 750 Ppm Fluoride, 4+ Years, Plant Based","['https://m.media-amazon.com/images/I/51rktr0i8jL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51rktr0i8jL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51rktr0i8jL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51rktr0i8jL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51rktr0i8jL._AC_UL960_QL65_.jpg']",548
29,"Mamaearth Daily Moisturizing Natural Baby Lotion (400 Ml) And Mamaearth Natural Toothpaste, Orange Flavour, Sls Free, With 750 Ppm Fluoride, 4+ Years, Plant Based","['https://m.media-amazon.com/images/I/51KjYaNf6gL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51KjYaNf6gL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51KjYaNf6gL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51KjYaNf6gL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51KjYaNf6gL._AC_UL960_QL65_.jpg']",548
30,Colgate Herbal Toothpaste - 200 g with Swarna Vedshakti Toothpaste - 200 g and Plax Peppermint Mouthwash - 250ml with Free Slim Soft Toothbrush,"['https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61S1a3qq7DL._AC_UL960_QL65_.jpg']",430
31,Colgate Plax Mouthwash - 500ml (Fresh Tea),"['https://m.media-amazon.com/images/I/61KR9MIQUtL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61KR9MIQUtL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61KR9MIQUtL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61KR9MIQUtL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61KR9MIQUtL._AC_UL960_QL65_.jpg']",195
32,Colgate ZigZag Toothbrush - Medium (Buy 2 Get 1),"['https://m.media-amazon.com/images/I/61D6E52CbiL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61D6E52CbiL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61D6E52CbiL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61D6E52CbiL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61D6E52CbiL._AC_UL960_QL65_.jpg']",60
33,Colgate Plax Mouthwash - 500ml (Peppermint Fresh),"['https://m.media-amazon.com/images/I/613+hiXzFLL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/613+hiXzFLL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613+hiXzFLL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613+hiXzFLL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/613+hiXzFLL._AC_UL960_QL65_.jpg']",184
34,Dabur Chyawanprash Awaleha - 1 kg,"['https://m.media-amazon.com/images/I/71pogPCiLbL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71pogPCiLbL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pogPCiLbL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pogPCiLbL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71pogPCiLbL._AC_UL960_QL65_.jpg']",325
35,"aquawhite CHHOTA BHEEM Eat, Brush, Smile strawberry Gift Pack","['https://m.media-amazon.com/images/I/41HGifvJX7L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/41HGifvJX7L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41HGifvJX7L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41HGifvJX7L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41HGifvJX7L._AC_UL960_QL65_.jpg']",299
36,"Colgate Plax Antibacterial Mouthwash, 10X longer cooling, 24/7 Fresh Breath, Removes 99% Germs - 3 x 250ml (Fresh Mint)","['https://m.media-amazon.com/images/I/71VMAdn2xTL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71VMAdn2xTL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71VMAdn2xTL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71VMAdn2xTL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71VMAdn2xTL._AC_UL960_QL65_.jpg']",330
37,"Oral-B Ultrathin Sensitive Toothbrush - 1 Piece (Green, Buy 2 Get 1 Free)","['https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71DPWBsbRwL._AC_UL960_QL65_.jpg']",140
38,"Anaha Indian Origin Premium Bentonite Clay Powder, 125g","['https://m.media-amazon.com/images/I/71KLV63XTCL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71KLV63XTCL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71KLV63XTCL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71KLV63XTCL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71KLV63XTCL._AC_UL960_QL65_.jpg']",150
39,Colgate Total Advanced Health Anticavity Toothpaste - 185 g (Pack of 2) & Colgate Slim Soft Charcoal Toothbrush (Buy 2 Get 1) (Pack Of 2),"['https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61FE8vP+GgL._AC_UL960_QL65_.jpg']",545
40,Best seller,"['https://m.media-amazon.com/images/I/71wc6OS21cL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71wc6OS21cL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71wc6OS21cL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71wc6OS21cL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71wc6OS21cL._AC_UL960_QL65_.jpg']",2
