,Title,image,MRP
21,"Surf Excel Detergent Bar - Stain Eraser, 100g Pack","['https://m.media-amazon.com/images/I/71LFT+M2y2L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71LFT+M2y2L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71LFT+M2y2L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71LFT+M2y2L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71LFT+M2y2L._AC_UL960_QL65_.jpg']",12
22,"Surf Excel Stain Bar, 150g [Pack of 10]","['https://m.media-amazon.com/images/I/718IwVNNhXL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/718IwVNNhXL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/718IwVNNhXL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/718IwVNNhXL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/718IwVNNhXL._AC_UL960_QL65_.jpg']",160
23,SURF EXCEL MATICLIQUID FRONT LOAD 1.02L,"['https://m.media-amazon.com/images/I/611piPvAcXL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/611piPvAcXL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611piPvAcXL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611piPvAcXL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/611piPvAcXL._AC_UL960_QL65_.jpg']",235
24,Surf Excel Matic Front Load - 500g,"['https://m.media-amazon.com/images/I/71And5vl6XL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71And5vl6XL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71And5vl6XL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71And5vl6XL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71And5vl6XL._AC_UL960_QL65_.jpg']",250
25,surf excel matic top load liquid detergent bottle 1.02L(pack of 2).,"['https://m.media-amazon.com/images/I/61cTzTz7J3L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61cTzTz7J3L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cTzTz7J3L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cTzTz7J3L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61cTzTz7J3L._AC_UL960_QL65_.jpg']",418
26,Surf Excel Quick Wash Detergent powder 12g each (Pack of 48),"['https://m.media-amazon.com/images/I/4171OpzEaNL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/4171OpzEaNL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/4171OpzEaNL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/4171OpzEaNL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/4171OpzEaNL._AC_UL960_QL65_.jpg']",260
27,"Surf Excel Detergent Powder - Stain Eraser, 800g Pack","['https://m.media-amazon.com/images/I/91Wv1j9XXoL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/91Wv1j9XXoL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91Wv1j9XXoL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91Wv1j9XXoL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/91Wv1j9XXoL._AC_UL960_QL65_.jpg']",94
28,Surf Excel Quick Wash Detergent Powder - 1 kg with Free Surf Excel Detergent Bar - 250 g,"['https://m.media-amazon.com/images/I/61M3F4ny5vL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61M3F4ny5vL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61M3F4ny5vL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61M3F4ny5vL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61M3F4ny5vL._AC_UL960_QL65_.jpg']",295
29,surf excel easy wash liquid. 500 ML,"['https://m.media-amazon.com/images/I/81o0yuSMLoL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/81o0yuSMLoL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81o0yuSMLoL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81o0yuSMLoL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/81o0yuSMLoL._AC_UL960_QL65_.jpg']",537
30,"surf excel easy wash liquid detergent, 500ml (pack of 4).","['https://m.media-amazon.com/images/I/51HlWhST-EL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51HlWhST-EL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51HlWhST-EL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51HlWhST-EL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51HlWhST-EL._AC_UL960_QL65_.jpg']",720
31,Surf Excel Matic Top Load Liquid Detergent - 1.02L,"['https://m.media-amazon.com/images/I/61LEvQSxOoL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61LEvQSxOoL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61LEvQSxOoL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61LEvQSxOoL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61LEvQSxOoL._AC_UL960_QL65_.jpg']",189
