,Title,image,MRP
21,"Himalaya Baby Cream, 200ml","['https://m.media-amazon.com/images/I/41CxWICPA0L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/41CxWICPA0L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41CxWICPA0L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41CxWICPA0L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/41CxWICPA0L._AC_UL960_QL65_.jpg']",210
22,"Biotique Bio Creamy Coconut Ultra-Rich Body Lotion for Extra Dry Skin, 180ml","['https://m.media-amazon.com/images/I/51Uo2-Y64RL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51Uo2-Y64RL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Uo2-Y64RL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Uo2-Y64RL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51Uo2-Y64RL._AC_UL960_QL65_.jpg']",143
23,"Himalaya Herbals Aloe and Cucumber Refreshing Body Lotion, 400ml","['https://m.media-amazon.com/images/I/71F3F6Tf2pL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/71F3F6Tf2pL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71F3F6Tf2pL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71F3F6Tf2pL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/71F3F6Tf2pL._AC_UL960_QL65_.jpg']",238
24,"Biotique Morning Nectar Flawless Skin Lotion for All Skin Types, 190ml","['https://m.media-amazon.com/images/I/61EOqBT9dDL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/61EOqBT9dDL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61EOqBT9dDL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61EOqBT9dDL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/61EOqBT9dDL._AC_UL960_QL65_.jpg']",180
25,"Biotique Bio White Orchid Skin Whitening Body Lotion, 180ml","['https://m.media-amazon.com/images/I/518VFdXLjJL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/518VFdXLjJL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/518VFdXLjJL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/518VFdXLjJL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/518VFdXLjJL._AC_UL960_QL65_.jpg']",143
26,"Vaseline Intensive Care Deep Restore Body Lotion, 100 ml","['https://m.media-amazon.com/images/I/514w9ii2EpL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/514w9ii2EpL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/514w9ii2EpL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/514w9ii2EpL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/514w9ii2EpL._AC_UL960_QL65_.jpg']",75
27,"NIVEA Hand Cream, Indulging Glycerin & Beeswax, 75ml","['https://m.media-amazon.com/images/I/711N6lsLpPL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/711N6lsLpPL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/711N6lsLpPL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/711N6lsLpPL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/711N6lsLpPL._AC_UL960_QL65_.jpg']",90
28,"Biotique Bio Wild Grass A Soothing After Shave Gel For Men, 120Ml","['https://m.media-amazon.com/images/I/51IOFNpwfyL._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51IOFNpwfyL._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51IOFNpwfyL._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51IOFNpwfyL._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51IOFNpwfyL._AC_UL960_QL65_.jpg']",144
29,"NIVEA Body Lotion, Whitening Even Tone UV Protect, 200ml","['https://m.media-amazon.com/images/I/51b0rvQs44L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51b0rvQs44L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51b0rvQs44L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51b0rvQs44L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51b0rvQs44L._AC_UL960_QL65_.jpg']",174
30,"Vaseline Calming Lavender Body Lotion, 400 ml","['https://m.media-amazon.com/images/I/51SCyI-Qg1L._AC_UL320_.jpg', '', 'https://m.media-amazon.com/images/I/51SCyI-Qg1L._AC_UL480_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51SCyI-Qg1L._AC_UL640_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51SCyI-Qg1L._AC_UL800_QL65_.jpg', '', 'https://m.media-amazon.com/images/I/51SCyI-Qg1L._AC_UL960_QL65_.jpg']",276
